ODE,Epsilon,N,Mesh,Method,Max Error
ODE 2,0.001,8,bakhvalov,upwind,0.28132795364843777
ODE 2,0.001,16,uniform,central,0.7147639642433227
ODE 2,0.001,16,uniform,forward,116.3385388732004
ODE 2,0.001,16,uniform,backward,116.33853887320052
ODE 2,0.001,16,uniform,upwind,0.007936507936508644
ODE 2,0.001,16,shishkin,central,0.11909317229602934
ODE 2,0.001,16,shishkin,forward,188.90803643117007
ODE 2,0.001,16,shishkin,backward,188.90803643116408
ODE 2,0.001,16,shishkin,upwind,0.20444056681737968
ODE 2,0.001,16,bakhvalov,central,0.22390572880918524
ODE 2,0.001,16,bakhvalov,forward,163.64121242066804
ODE 2,0.001,16,bakhvalov,backward,163.64121242065914
ODE 2,0.001,16,bakhvalov,upwind,0.18695385890772764
ODE 2,0.001,32,uniform,central,0.7696487293610522
ODE 2,0.001,32,uniform,forward,72.09244032626043
ODE 2,0.001,32,uniform,backward,72.0924403262605
ODE 2,0.001,32,uniform,upwind,0.015748031496062992
ODE 2,0.001,32,shishkin,central,0.21825453708915282
ODE 2,0.001,32,shishkin,forward,114.91787582958133
ODE 2,0.001,32,shishkin,backward,114.91787582958256
ODE 2,0.001,32,shishkin,upwind,0.18902795671637374
ODE 2,0.001,32,bakhvalov,central,0.24737010401656354
ODE 2,0.001,32,bakhvalov,forward,109.56668544338525
ODE 2,0.001,32,bakhvalov,backward,109.56668544374882
ODE 2,0.001,32,bakhvalov,upwind,0.10151766863980533
ODE 2,0.001,64,uniform,central,0.7220536901596184
ODE 2,0.001,64,uniform,forward,3737.55917084553
ODE 2,0.001,64,uniform,backward,3737.5591708454613
ODE 2,0.001,64,uniform,upwind,0.031007751937940812
ODE 2,0.001,64,shishkin,central,0.2332483817105972
ODE 2,0.001,64,shishkin,forward,0.39238429282271253
ODE 2,0.001,64,shishkin,backward,0.3923842928227149
ODE 2,0.001,64,shishkin,upwind,0.1365235595729603
ODE 2,0.001,64,bakhvalov,central,0.24877215653963372
ODE 2,0.001,64,bakhvalov,forward,29.676975184947917
ODE 2,0.001,64,bakhvalov,backward,29.676975186276955
ODE 2,0.001,64,bakhvalov,upwind,0.05250236891141391
ODE 2,0.001,128,uniform,central,0.5708553925003408
ODE 2,0.001,128,uniform,forward,474001.99030420976
ODE 2,0.001,128,uniform,backward,474001.9903031998
ODE 2,0.001,128,uniform,upwind,0.06015019094348958
ODE 2,0.001,128,shishkin,central,0.24473076512798936
ODE 2,0.001,128,shishkin,forward,0.15148999202875446
ODE 2,0.001,128,shishkin,backward,0.15148999202874597
ODE 2,0.001,128,shishkin,upwind,0.0900368886500339
ODE 2,0.001,128,bakhvalov,central,0.2489646787993799
ODE 2,0.001,128,bakhvalov,forward,8.242847062745122
ODE 2,0.001,128,bakhvalov,backward,8.242847062649789
ODE 2,0.001,128,bakhvalov,upwind,0.02773134986184561
ODE 2,0.001,256,uniform,central,0.3155203821736455
ODE 2,0.001,256,uniform,forward,1.1419106353923742e+16
ODE 2,0.001,256,uniform,backward,5583402241779931.0
ODE 2,0.001,256,uniform,upwind,0.1130579929859818
ODE 2,0.001,256,shishkin,central,0.24844386525104817
ODE 2,0.001,256,shishkin,forward,0.33838373100735386
ODE 2,0.001,256,shishkin,backward,0.33838373042663417
ODE 2,0.001,256,shishkin,upwind,0.05591771272103352
ODE 2,0.001,256,bakhvalov,central,0.2492103250639816
ODE 2,0.001,256,bakhvalov,forward,63.022168858290925
ODE 2,0.001,256,bakhvalov,backward,63.022168851589264
ODE 2,0.001,256,bakhvalov,upwind,0.014290311599893468
ODE 2,0.001,512,uniform,central,0.00653603746651279
ODE 2,0.001,512,uniform,forward,5.766363478333816e+33
ODE 2,0.001,512,uniform,backward,9891504214997046.0
ODE 2,0.001,512,uniform,upwind,0.18355180375690433
ODE 2,0.001,512,shishkin,central,0.24900673963133169
ODE 2,0.001,512,shishkin,forward,1236629333.394066
ODE 2,0.001,512,shishkin,backward,13085596.679942831
ODE 2,0.001,512,shishkin,upwind,0.03310579005446007
ODE 2,0.001,512,bakhvalov,central,0.2492987022616449
ODE 2,0.001,512,bakhvalov,forward,28600920.335008733
ODE 2,0.001,512,bakhvalov,backward,28524010.34226631
ODE 2,0.001,512,bakhvalov,upwind,0.0072183533865778915
ODE 2,0.0001,8,uniform,central,0.5604156517233644
ODE 2,0.0001,8,uniform,forward,1878.4951794524113
ODE 2,0.0001,8,uniform,backward,1878.495179452412
ODE 2,0.0001,8,uniform,upwind,0.0003998400640423684
ODE 2,0.0001,8,shishkin,central,0.03493362651182619
ODE 2,0.0001,8,shishkin,forward,1249.0656083558335
ODE 2,0.0001,8,shishkin,backward,1249.0656083568729
ODE 2,0.0001,8,shishkin,upwind,0.18815121256846173
ODE 2,0.0001,8,bakhvalov,central,0.21230664988649575
ODE 2,0.0001,8,bakhvalov,forward,2226.873582714162
ODE 2,0.0001,8,bakhvalov,backward,2226.873582713617
ODE 2,0.0001,8,bakhvalov,upwind,0.28278881750981005
ODE 2,0.0001,16,uniform,central,0.7603945785682642
ODE 2,0.0001,16,uniform,forward,1100.8953772297486
ODE 2,0.0001,16,uniform,backward,1100.8953772297489
ODE 2,0.0001,16,uniform,upwind,0.0007993605115907274
ODE 2,0.0001,16,shishkin,central,0.1187445470664197
ODE 2,0.0001,16,shishkin,forward,1876.4195917059221
ODE 2,0.0001,16,shishkin,backward,1876.4195917059208
ODE 2,0.0001,16,shishkin,upwind,0.20471049616661252
ODE 2,0.0001,16,bakhvalov,central,0.22440882744217694
ODE 2,0.0001,16,bakhvalov,forward,1603.7367182179019
ODE 2,0.0001,16,bakhvalov,backward,1603.736718217627
ODE 2,0.0001,16,bakhvalov,upwind,0.18827550650383534
ODE 2,0.0001,32,uniform,central,0.8673556338160646
ODE 2,0.0001,32,uniform,forward,600.8227141439098
