ODE,Epsilon,N,Mesh,Method,Max Error
ODE 3,0.001,8,bakhvalov,backward,1.0397299642816606
ODE 3,0.001,8,bakhvalov,upwind,0.14053807062980395
ODE 3,0.001,16,uniform,central,0.18001715366158466
ODE 3,0.001,16,uniform,forward,1.0377249187096989
ODE 3,0.001,16,uniform,backward,1.037724918709699
ODE 3,0.001,16,uniform,upwind,0.06907327929209471
ODE 3,0.001,16,shishkin,central,0.6372048612249845
ODE 3,0.001,16,shishkin,forward,1.01721764376521
ODE 3,0.001,16,shishkin,backward,1.021830159551077
ODE 3,0.001,16,shishkin,upwind,0.08777360659077055
ODE 3,0.001,16,bakhvalov,central,0.6737329717860585
ODE 3,0.001,16,bakhvalov,forward,1.0173740996945104
ODE 3,0.001,16,bakhvalov,backward,1.016952807847684
ODE 3,0.001,16,bakhvalov,upwind,0.07616606945492405
ODE 3,0.001,32,uniform,central,0.032632343841913936
ODE 3,0.001,32,uniform,forward,1.0728911509142787
ODE 3,0.001,32,uniform,backward,1.0728911509142633
ODE 3,0.001,32,uniform,upwind,0.049707424748684725
ODE 3,0.001,32,shishkin,central,0.1536360530382022
ODE 3,0.001,32,shishkin,forward,1.0339554038036036
ODE 3,0.001,32,shishkin,backward,1.0381981755763097
ODE 3,0.001,32,shishkin,upwind,0.06159287383264493
ODE 3,0.001,32,bakhvalov,central,0.16247018828935708
ODE 3,0.001,32,bakhvalov,forward,1.0336930501326695
ODE 3,0.001,32,bakhvalov,backward,1.0352752057603531
ODE 3,0.001,32,bakhvalov,upwind,0.0653712599429862
ODE 3,0.001,64,uniform,central,0.007557302187330528
ODE 3,0.001,64,uniform,forward,1.1514833469210033
ODE 3,0.001,64,uniform,backward,1.151483346910551
ODE 3,0.001,64,uniform,upwind,0.03075539659214134
ODE 3,0.001,64,shishkin,central,0.03568097281381666
ODE 3,0.001,64,shishkin,forward,1.069494786004488
ODE 3,0.001,64,shishkin,backward,1.074128702780237
ODE 3,0.001,64,shishkin,upwind,0.05988845680069321
ODE 3,0.001,64,bakhvalov,central,0.037905703836581095
ODE 3,0.001,64,bakhvalov,forward,1.0686863601082066
ODE 3,0.001,64,bakhvalov,backward,1.0714902522647098
ODE 3,0.001,64,bakhvalov,upwind,0.05750641244087995
ODE 3,0.001,128,uniform,central,0.0019210031992183962
ODE 3,0.001,128,uniform,forward,0.03361342313269022
ODE 3,0.001,128,uniform,backward,0.03361339897269394
ODE 3,0.001,128,uniform,upwind,0.017787854110777407
ODE 3,0.001,128,shishkin,central,0.007027735578368999
ODE 3,0.001,128,shishkin,forward,1.1494475596791731
ODE 3,0.001,128,shishkin,backward,1.1548355914384096
ODE 3,0.001,128,shishkin,upwind,0.03345019366762003
ODE 3,0.001,128,bakhvalov,central,0.007728773597937888
ODE 3,0.001,128,bakhvalov,forward,1.1470453199504245
ODE 3,0.001,128,bakhvalov,backward,1.14990087530659
ODE 3,0.001,128,bakhvalov,upwind,0.03307408888929109
ODE 3,0.001,256,uniform,central,0.0004775848888587675
ODE 3,0.001,256,uniform,forward,0.016574259407997505
ODE 3,0.001,256,uniform,backward,0.016574259408005387
ODE 3,0.001,256,uniform,upwind,0.00939282800016139
ODE 3,0.001,256,shishkin,central,0.0016032218582388014
ODE 3,0.001,256,shishkin,forward,0.0317008073366859
ODE 3,0.001,256,shishkin,backward,0.031711381203300415
ODE 3,0.001,256,shishkin,upwind,0.017875891194191418
ODE 3,0.001,256,bakhvalov,central,0.0025510417643520578
ODE 3,0.001,256,bakhvalov,forward,0.03332391246054278
ODE 3,0.001,256,bakhvalov,backward,0.033511529508974625
ODE 3,0.001,256,bakhvalov,upwind,0.017587428587821252
ODE 3,0.001,512,uniform,central,0.00011923371924738024
ODE 3,0.001,512,uniform,forward,0.008242694117265859
ODE 3,0.001,512,uniform,backward,0.008242694117290617
ODE 3,0.001,512,uniform,upwind,0.004843934869505073
ODE 3,0.001,512,shishkin,central,0.0003811264841377948
ODE 3,0.001,512,shishkin,forward,0.015566874672074016
ODE 3,0.001,512,shishkin,backward,0.01560385904549566
ODE 3,0.001,512,shishkin,upwind,0.00929412765328863
ODE 3,0.001,512,bakhvalov,central,0.00042761173394752217
ODE 3,0.001,512,bakhvalov,forward,0.016548765485267847
ODE 3,0.001,512,bakhvalov,backward,0.016330857398866194
ODE 3,0.001,512,bakhvalov,upwind,0.009447540812590888
ODE 3,0.0001,8,uniform,central,14.44615273682606
ODE 3,0.0001,8,uniform,forward,1.0021356710181806
ODE 3,0.0001,8,uniform,backward,1.002135671018181
ODE 3,0.0001,8,uniform,upwind,0.0031695934260061245
ODE 3,0.0001,8,shishkin,central,0.015739222870053804
ODE 3,0.0001,8,shishkin,forward,0.5994917735605376
ODE 3,0.0001,8,shishkin,backward,0.5986177665509433
ODE 3,0.0001,8,shishkin,upwind,0.015783170366860944
ODE 3,0.0001,8,bakhvalov,central,0.6116032023055281
ODE 3,0.0001,8,bakhvalov,forward,0.012583240860453648
ODE 3,0.0001,8,bakhvalov,backward,0.9945890886859715
ODE 3,0.0001,8,bakhvalov,upwind,0.12879399307610023
ODE 3,0.0001,16,uniform,central,2.7495686818933236
ODE 3,0.0001,16,uniform,forward,1.003668326313352
ODE 3,0.0001,16,uniform,backward,1.0036683263133521
ODE 3,0.0001,16,uniform,upwind,0.01232793389448017
ODE 3,0.0001,16,shishkin,central,0.9502564248667446
ODE 3,0.0001,16,shishkin,forward,1.001794089306603
ODE 3,0.0001,16,shishkin,backward,1.0021362744500988
ODE 3,0.0001,16,shishkin,upwind,0.06967951834048336
ODE 3,0.0001,16,bakhvalov,central,0.9568582108260539
ODE 3,0.0001,16,bakhvalov,forward,1.0017950099690176
ODE 3,0.0001,16,bakhvalov,backward,1.0033136791019905
ODE 3,0.0001,16,bakhvalov,upwind,0.06863392366608367
ODE 3,0.0001,32,uniform,central,0.49333933671644453
ODE 3,0.0001,32,uniform,forward,1.0068702210833882
ODE 3,0.0001,32,uniform,backward,1.0068702210833878
ODE 3,0.0001,32,uniform,upwind,0.04355734462181404
ODE 3,0.0001,32,shishkin,central,0.7845809537971871
ODE 3,0.0001,32,shishkin,forward,1.0032790333231896
ODE 3,0.0001,32,shishkin,backward,1.0036726607754842
ODE 3,0.0001,32,shishkin,upwind,0.04680054553936963
ODE 3,0.0001,32,bakhvalov,central,0.7975679230513804
ODE 3,0.0001,32,bakhvalov,forward,1.003276600563191
ODE 3,0.0001,32,bakhvalov,backward,1.0020782558920607
ODE 3,0.0001,32,bakhvalov,upwind,0.03787051465358815
ODE 3,0.0001,64,uniform,central,0.09823273942545982
ODE 3,0.0001,64,uniform,forward,1.0133838536739603
ODE 3,0.0001,64,uniform,backward,1.0133838536739601
ODE 3,0.0001,64,uniform,upwind,0.06958262292073777
ODE 3,0.0001,64,shishkin,central,0.366144009617642
ODE 3,0.0001,64,shishkin,forward,1.0064770228488868
ODE 3,0.0001,64,shishkin,backward,1.006880926437719
ODE 3,0.0001,64,shishkin,upwind,0.040773907279338675
