ODE,Epsilon,N,Mesh,Method,Max Error
ODE 3,1e-07,64,shishkin,upwind,0.015255853721176715
ODE 3,1e-07,64,bakhvalov,central,0.9988469611413152
ODE 3,1e-07,64,bakhvalov,forward,1.0000064286125612
ODE 3,1e-07,64,bakhvalov,backward,0.9992676665634251
ODE 3,1e-07,64,bakhvalov,upwind,0.015919592025221918
ODE 3,1e-07,128,uniform,central,27.99220434567191
ODE 3,1e-07,128,uniform,forward,1.000026007014645
ODE 3,1e-07,128,uniform,backward,1.0000260070146447
ODE 3,1e-07,128,uniform,upwind,0.0008171920341144556
ODE 3,1e-07,128,shishkin,central,0.9945849337943949
ODE 3,1e-07,128,shishkin,forward,1.0000128135158954
ODE 3,1e-07,128,shishkin,backward,1.0000131615629368
ODE 3,1e-07,128,shishkin,upwind,0.00855535777711075
ODE 3,1e-07,128,bakhvalov,central,0.9946884059484148
ODE 3,1e-07,128,bakhvalov,forward,1.0000128134980486
ODE 3,1e-07,128,bakhvalov,backward,0.9994275637456322
ODE 3,1e-07,128,bakhvalov,upwind,0.008226975546022364
ODE 3,1e-07,256,uniform,central,6.134988491911617
ODE 3,1e-07,256,uniform,forward,1.0000516057914925
ODE 3,1e-07,256,uniform,backward,1.0000516057914954
ODE 3,1e-07,256,uniform,upwind,0.0032449242364466996
ODE 3,1e-07,256,shishkin,central,0.97621313928778
ODE 3,1e-07,256,shishkin,forward,1.0000256071524543
ODE 3,1e-07,256,shishkin,backward,1.0000259746478473
ODE 3,1e-07,256,shishkin,upwind,0.005085789607183255
ODE 3,1e-07,256,bakhvalov,central,0.976441926041222
ODE 3,1e-07,256,bakhvalov,forward,1.0000256071091678
ODE 3,1e-07,256,bakhvalov,backward,0.9995914475098088
ODE 3,1e-07,256,bakhvalov,upwind,0.004245496219351719
ODE 3,1e-07,512,uniform,central,1.3359038610463114
ODE 3,1e-07,512,uniform,forward,1.000102812096261
ODE 3,1e-07,512,uniform,backward,1.0001028120962585
ODE 3,1e-07,512,uniform,upwind,0.012612672064194252
ODE 3,1e-07,512,shishkin,central,0.9009908386127596
ODE 3,1e-07,512,shishkin,forward,1.0000512059022943
ODE 3,1e-07,512,shishkin,backward,1.00005161831913
ODE 3,1e-07,512,shishkin,upwind,0.0033008050100506447
ODE 3,1e-07,512,bakhvalov,central,0.9014501696438202
ODE 3,1e-07,512,bakhvalov,forward,1.0000512058009272
ODE 3,1e-07,512,bakhvalov,backward,0.999958243169883
ODE 3,1e-07,512,bakhvalov,upwind,0.0032318637207449387
